page_number,incident_number,incident_type,address,calls,start_time,ert,duration,device_name,device_type,network,feeder,work_order_id,local_office,substation,affected_customers,poles_down,services,transformers_down,cross_arms,conductor_span,tree_trim,need_scout,first_customer_comment
1,2030168317,LGTS,HIGHWAY 144 4555,0,01-24-2026 12: 16,02-02-2026 22:00,13543 h,9304334,ServicePoint,West Monroe,N5303,9304334,WEST MONROE,CADEVILLE LA,1,0,0,0,0,0,0,,
2,2030168320,LGTS,HWY 144 4371,0,01-24-2026 12: 16,02-02-2026 22:00,13543 h,3849679,ServicePoint,West Monroe,N5303,3849679,WEST MONROE,CADEVILLE LA,1,0,0,0,0,0,0,,
3,2031180730,LGTS,LGTS 2031180730 Address HIGHWAY 34 3457,Calls 1,1 Start Time 01-31-2026 11 :50,ERT 02-03-2026 22:00,4930 h,4115230,ServicePoint,West Monroe Feeder,N5303,4115230,WEST MONROE Substation,CADEVILLE LA,1,0,0,0,0,0,0,,WIRE DOWNltree limb fell on power line exposed wires
4,2030168258,LGTS,ROBINSON CHAPEL RD 602,0,01-24-2026 12:16,02-03-2026 22:00,14983 h,6977445,ServicePoint,West Monroe,N5303,6977445,WEST MONROE,CADEVILLE LA,1,0,0,0,0,0,0,,
5,2030168325,LGTS,GUMWOOD RD 238,0,01-24-2026 12:16,02-02-2026 22:00,13543 h,4062766,Service Point,West Monroe,N5303,4062766,WEST MONROE,CADEVILLE LA,1,0,0,0,0,2,0,,
6,2031190339,LGTS,BEULAH CHURCH RD 817,1,01-31-2026 22:18,02-02-2026 12:00,2262 h,3912033,ServicePoint,West Monroe,N5304,3912033,WEST MONROE,CADEVILLE LA,1,0,0,0,0,0,0,,"LIGHTS OUT - NO REQUEST PRINTEDIPole down: N, Wires down: N, Chk. Brkr.: N; LIGHTS OUT - NO REQUEST PRINTEDIPole down: N/A, Wires down: Y, Chk. Brkr.: Y"
7,2031184898,LGTS,ASHLEY GRIGGS RD 397,1,01-31-2026 16:08,02-02-2026 22:00,3232 h,9254827,Service Point,West Monroe,N5304,9254827,WEST MONROE,CADEVILLE LA,1,0,0,0,0,0,0,,"LIGHTS OUT - NO REQUEST PRINTEDIPole down: N, Wires down: N, Chk. Brkr.: N"
8,2032193984,LGTS,ROBERSON RD 181,1,02-01-2026 10:45,02-02-2026 22:00,2115 h,9362372,Service Point,West Monroe,N5304,9362372,WEST MONROE,CADEVILLE LA,1,0,0,0,0,0,0,,"LIGHTS OUT - NO REQUEST PRINTEDIPole down: N/A, Wires down: N/A, Chk. Brkr.: N/A; LIGHTS OUT - NO REQUEST PRINTEDITICKET GENERATED BY SMS; WIRE DOWNlon Robertson running into the wood by the old house; WIRE DOWNlreprting dwn wires around his location at 181 roberson calhoun la; LIGHTS OUT - NO REQUEST PRINTEDIPole down: N, Wires down: N, Chk. Brkr.: N"
9,2032195364,LGTS,HIGHWAY 144 2024,1,02-01-2026 12:42,02-02-2026 22:37,2035 h,4002351,Service Point,West Monroe,N5304,4002351,WEST MONROE,CADEVILLE LA,1,0,0,0,0,0,0,,LIGHTS OUT - NO REQUEST PRINTEDITICKET GENERATED BY SMS
10,2032194207,LGTS,HIGHWAY 144 2195,1,02-01-2026 11 :08,02-02-2026 22:49,2141 h,4232846,Service Point,West Monroe,N5304,4232846,WEST MONROE,CADEVILLE LA,1,0,0,0,0,0,0,,LIGHTS OUT - NO REQUEST PRINTEDITICKET GENERATED BY SMS
11,2031190083,LGTS,HIGHWAY 144 1033,1,01-31-2026 21 :32,02-04-2026 22:00,5788 h,3831779,ServicePoint,West Monroe,N5304,3831779,WEST MONROE,CADEVILLE LA,1,0,0,0,0,0,0,,"LIGHTS OUT - NO REQUEST PRINTEDIPole down: N, Wires down: N, Chk. Brkr.: N"
